day,date_2026,learn_id,learn_topic,learn_headline,learn_truth,learn_icon,grow_id,grow_topic,grow_headline,grow_truth,grow_icon
50,2026-02-19,c56049ed-4408-451f-b99c-db767d12e84f,"Stories Trapped in Stone","Fossils are time capsules—dead things preserved for millions of years","Fossils form when organisms are buried and slowly replaced by minerals.",🦖,7ef485fc-f687-4e13-86ee-171f8a495e38,"Honest Questions","When You Genuinely Don't Know","Asking when you genuinely don't know",❓
51,2026-02-20,e22d1b07-95db-4204-a950-3289e53d4c68,"When Dinosaurs Ruled","Dinosaurs ruled Earth for 165 million years—humans have existed for less than 1","Dinosaurs dominated the planet longer than any other land animals in history.",🦖,908d2c6b-e3c6-42c8-8df4-96dcdc1d24e0,"Pretend Questions","Showing Off vs Learning","Asking to show off vs to learn",❓
52,2026-02-21,1c4daa27-4e61-4eeb-b1c9-b9cbdd991e69,"What's Inside a Volcano","Volcanoes are vents where molten rock from deep inside Earth escapes to the surface","Volcanoes release pressure from Earth's hot interior through eruptions.",🌋,7dab02b3-50ac-4cd1-b868-3df28da02e0e,"Brave Questions","When You're Afraid to Ask","Asking when you're afraid to",❓
53,2026-02-22,2aa7d2b6-dada-4088-b1e6-d2cc61564993,"Why the Ground Shakes","Earthquakes happen when tectonic plates slip past each other after building up pressure","Earthquakes release energy stored in Earth's crust when rocks suddenly shift.",🌍,8b0e284a-33bc-4ee7-a142-4c5ed7223878,"Silly Questions","There Are No Dumb Questions","There are no dumb questions",❓
54,2026-02-23,dd5ae72d-396a-4502-b3fa-7a7143bef508,"How Mountains Are Made","Mountains are made when tectonic plates collide and crumple upward over millions of years","Mountain ranges form from the slow collision of Earth's crustal plates over millions of years.",⛰️,42c51d4d-fcd2-4a5f-8e35-dfe262b4786e,"Big Questions","Questions That Change Everything","The questions that change everything",❓
55,2026-02-24,c74661bd-af5b-4c02-92d5-557d9a3a3a7d,"The Deep Ocean Mystery","More people have walked on the moon than have reached the deepest point in the ocean","The deep ocean is Earth's final frontier—darker, colder, and more mysterious than outer space.",🌊,e9320fc6-5f24-42c4-8301-96e0e2b486f7,"Little Questions","The Details That Matter","The details that matter",❓
56,2026-02-25,66634dbc-9bb5-4337-9c31-1d3a342f4cda,"How Rivers Shape the Land","Rivers carve canyons by carrying tiny particles that scrape rock away over millennia","Rivers shape landscapes by eroding and depositing sediment over time.",🏞️,28512927-7f01-467b-a59c-793b87188495,"Unanswerable Questions","Sitting with Uncertainty","Learning to sit with uncertainty",❓
57,2026-02-26,c827784d-a541-4a61-ae87-a36259be4dd5,"Where Lakes Come From","Every lake you have ever swam in started as rain that had nowhere else to go","Lakes form when water collects in low places faster than it can drain away.",🌵,0895edb4-9f9a-4e07-9570-45ee300f0218,"Questions for AI","Best Practices for AI Prompting","Best practices for AI prompting",❓
58,2026-02-27,eed5c6e3-d921-424b-8679-1fb5c2690762,"Life in the Desert","The desert is not empty—it is just very selective about who survives","Desert creatures have evolved incredible tricks to find water where none seems to exist.",🌲,f84263c3-859b-46f4-978f-d26b420f8131,"Questions AI Can't Answer","Knowing AI's Limits","Knowing AI's limits",❓
59,2026-02-28,fb8ddb57-d85c-4e45-9d26-5f3178f6254c,"The Secret Life of Forests","Trees in a forest share food with each other through an underground internet of fungi","Forests are not collections of separate trees—they are connected communities that help each other.",🐠,fb40a434-9795-4cd0-afe3-cd4483678eeb,"Month in Review","The Art of Questioning","The art of questioning",❓
60,2026-03-01,836e44f4-c33e-4dec-aaf4-cbf3742ac6b2,"Why Jungles Are So Alive","One acre of jungle contains more species than all of Europe combined","Jungles pack more life into less space than anywhere else on Earth.",⛏️,9785bda8-dea6-4987-869c-cf3501886447,"Why Verify?","Trust But Verify","Trust but verify",✅
61,2026-03-02,68ecb375-0938-497e-b492-e2ee6bc8c122,"The Power of Grass","Grass covers more of Earth than any other plant and feeds most of the animals you know","Grass is the foundation of most ecosystems—without it, there would be no cows, horses, or wheat.",🦋,57c97762-d8c7-4634-b05e-488ed60b1f9f,"Sources and Evidence","Where Information Comes From","Where information comes from",✅
62,2026-03-03,32bfde81-1494-4f79-bdcd-8b98b5806eb4,"Why Wetlands Matter","Wetlands filter water better than any machine humans have ever invented","Wetlands are nature's kidneys—they clean water and protect coastlines from storms.",🐦,03ad984a-8ef0-4cf8-8c05-27ddd8eb6a00,"Primary vs Secondary","Getting Closer to the Truth","Getting closer to the truth",✅
63,2026-03-04,969472b0-6228-40b1-990b-2f868ce894dc,"Cities Under the Sea","Coral reefs cover less than 1% of the ocean but support 25% of all marine life","Coral reefs are underwater cities built by tiny animals over thousands of years.",🐠,1299d199-37f4-4dc2-b629-79cef124328b,"The Two-Source Rule","Cross-Referencing Everything","Cross-referencing everything",✅
64,2026-03-05,8d47d3da-5569-44e9-acb9-d9096a74c0d0,"Worlds Without Light","Miles below the ocean surface, creatures make their own light to survive","The deep ocean is pitch black, yet life thrives there in ways we are still discovering.",🦁,c60b67ca-0293-4271-8677-a2c21624fd85,"When AI Is Wrong","AI Can Hallucinate Confidently","AI can hallucinate confidently",✅
65,2026-03-06,fd82df99-7ed9-457b-84ea-cd4770887aca,"How Islands Are Born","Hawaii did not exist 5 million years ago—it was built by volcanoes from the ocean floor","Islands are born when underwater volcanoes grow tall enough to break the surface.",🦎,de5f1216-3dd7-46e9-be2c-d38ea397186f,"When Experts Are Wrong","Everyone Makes Mistakes","Everyone makes mistakes",✅
66,2026-03-07,debbd66c-3c06-48b9-8e89-5c33d0ab7228,"What's Living in the Dirt","One handful of soil contains more living organisms than there are people on Earth","Soil is not just dirt—it is a living ecosystem full of creatures too small to see.",🐸,a4a37634-6c70-4654-94e6-f4a1b3dd1d08,"When You're Wrong","Catching Your Own Errors","Catching your own errors",✅
67,2026-03-08,0210e779-f1ae-4ae4-bc63-e6e6ae19c632,"The Stories Rocks Tell","Every rock is a diary entry from Earth—if you know how to read it","Rocks record history—if you know how to read them, they tell you what the world used to look like.",🌿,c0f63c64-c104-43a6-9792-a855d0e1d4b7,"Confirmation Bias","Finding What You Want to Find","Finding what you want to find",✅
68,2026-03-09,6388cd0c-35bf-4822-8876-d69550d487c4,"Earth's Hidden Treasures","The phone in your pocket contains materials from dozens of different mines worldwide","Earth hides valuable minerals underground that make modern technology possible.",🌳,44da5d92-f4e5-424c-af82-7ca4de94871b,"Checking Your Bias","Awareness of Your Own Filters","Awareness of your own filters",✅
69,2026-03-10,670417ba-fcf0-4337-9143-3c30c5166c52,"How Gems Are Made","A diamond is just carbon that spent millions of years under extreme pressure","Gems are ordinary elements transformed by heat, pressure, and time into something rare.",🌸,47d833be-1254-403d-9be3-f61d5ecf1307,"The Chain of Evidence","Tracing Claims to Origins","Tracing claims to origins",✅
70,2026-03-11,29fe3017-ee2b-4373-bb9b-c5e1fc7fc423,"Where Metals Come From","The iron in your blood was forged inside a star that exploded billions of years ago","Most metals on Earth were created in dying stars and arrived here on asteroids.",🍄,b12c2786-4c5a-4b31-ba35-c91d6b85725b,"Red Flags","Warning Signs of Bad Information","Warning signs of bad information",✅
71,2026-03-12,c3a6ed92-6e7c-4a97-bb41-f49a28ad6a88,"What's In the Air You Breathe","The air you breathe is mostly nitrogen—only 21% is the oxygen keeping you alive","Air is a mixture of gases, and we only use a small fraction of what we breathe in.",🦠,07a841b6-6191-41f6-a23b-450e2292ac73,"Reliable Sources","Characteristics of Trustworthy Information","Characteristics of trustworthy information",✅
72,2026-03-13,eef5273a-297f-47bb-b2b5-82347dd51110,"Why We Need Oxygen","Your brain uses 20% of all the oxygen you breathe, even though it is only 2% of your body","Every cell in your body needs oxygen to turn food into energy.",🧬,acb6a93d-c7d4-4892-9b81-433c3bdde2fc,"Evaluating Websites","Is This Source Credible?","Is this source credible?",✅
73,2026-03-14,8e36a1a3-6447-4700-9c36-53fd495df65f,"Carbon Is Everywhere","You are 18% carbon—the same element in diamonds, pencils, and coal","Carbon is the backbone of every living thing because it can form more compounds than any other element.",🧠,75a64e61-c02d-4882-9464-519cdff2d2af,"Evaluating People","Is This Person Credible?","Is this person credible?",✅
74,2026-03-15,3ed88135-a457-4071-8ba8-e1e23279d932,"The Gas You Don't Notice","Nitrogen makes up 78% of every breath you take—but your body completely ignores it","Nitrogen is everywhere but rarely reacts—plants need bacteria to convert it into usable form.",🫀,518f5e24-0cd8-4ad4-8c14-b26503a0a30a,"Evaluating AI","Is This AI Output Accurate?","Is this AI output accurate?",✅
75,2026-03-16,9fb632f4-5431-4ceb-a1bf-64fb9e2af886,"The Simplest Element","Hydrogen is the simplest atom—one proton, one electron—and it powers the sun","Hydrogen is the most abundant element in the universe and the fuel that makes stars shine.",🦴,e7d6d7c0-0cbb-4bf1-bf7c-ffb4bb889a97,"Fact vs Opinion","Distinguishing Objective and Subjective","Distinguishing objective and subjective",✅
76,2026-03-17,da97f2b7-dc05-4164-bb1d-74787318793c,"Building Blocks of Everything","Everything you can touch is made of atoms so small that billions fit on a pinhead","Atoms are the building blocks of all matter—you, your house, and the stars are all made of them.",💪,3fcf2345-04e2-4d7e-adee-9ee02911676e,"Data vs Anecdote","Numbers vs Stories","Numbers vs stories",✅
77,2026-03-18,121facb1-70c3-4c51-a9c7-a700c61442b8,"When Atoms Connect","Water exists because hydrogen and oxygen atoms decided to share electrons","Atoms bond together by sharing or transferring electrons, creating all the molecules we know.",🩸,358425bb-3333-496f-bb1e-b7c744a63526,"Correlation vs Causation","Connected Doesn't Mean Caused","Connected doesn't mean caused",✅
78,2026-03-19,b6a48945-4e91-444d-af36-df29b4974fbd,"The Tiny Units of Life","You are made of 37 trillion cells, each one performing millions of chemical reactions right now","Cells are the smallest units of life—everything alive is made of one or more of them.",🧤,bcfc8cfa-4eae-497c-bee1-7d2e7523d271,"Sample Size","Why Small Samples Mislead","Why small samples mislead",✅
79,2026-03-20,6f401adb-3def-414a-84b1-e794b3f6c48b,"Your Body's Instruction Manual","Your DNA contains 3 billion letters of instructions written in a 4-letter alphabet","DNA is the instruction manual that tells your cells how to build and maintain you.",👁️,c8d6de71-3c15-4c4f-8e52-f28391b81d6c,"Recency Bias","New Isn't Always Right","New isn't always right",✅
80,2026-03-21,92d36bfb-ff47-427c-9918-17ec66fb9594,"What Blood Does All Day","Your blood travels 12,000 miles a day delivering oxygen and picking up waste","Blood is a delivery system that brings nutrients to cells and carries away what they do not need.",👂,26476c5b-61b4-48f6-892c-d244261b64d5,"Historical Accuracy","Checking Old Claims","Checking old claims",✅
81,2026-03-22,9c3ba3dc-7c1c-4e9e-a8c6-e699e18ee9bb,"How Taste Works","Your tongue has about 10,000 taste buds that only recognize five basic flavors","Taste evolved to help us find nutrition and avoid poison—sweet means energy, bitter means danger.",👅,b7fffe48-6b1d-40a6-8515-941aea9e7e84,"Scientific Consensus","When Experts Agree","When experts agree",✅
82,2026-03-23,cfccf5f4-69dd-4446-8989-7c8a9c4c73c3,"Why Smell Triggers Memory","A smell can bring back a memory more vividly than a photograph ever could","Smell connects directly to the brain's memory center, which is why scents trigger instant flashbacks.",👃,fa2de755-af1d-4165-b947-d235c6b24b7a,"Updating Beliefs","Changing Your Mind with New Evidence","Changing your mind with new evidence",✅
83,2026-03-24,91f7f2de-00d5-422f-93d6-fd2bbaaf51cf,"How Skin Feels Things","Your fingertips can detect a bump one-thousandth of an inch high","Skin is packed with sensors that tell your brain about pressure, temperature, and pain.",🖐️,9cdab299-9c72-4206-aedb-fdc54298ad0c,"Intellectual Humility","Being Wrong Well","Being wrong well",✅
84,2026-03-25,11881e57-9755-4bf1-9f63-529f2f05b8dd,"How Your Eyes See","Your eyes send 10 million bits of information to your brain every second","Eyes do not see—they collect light and send signals that your brain turns into images.",😊,9904676f-7a0e-49e2-b0e6-e630a46f624c,"Healthy Skepticism","Questioning Without Cynicism","Questioning without cynicism",✅
